benchmark,metric,value,repetition
adi,L2 Misses,92480052096.0,1
adi,L2 DRead + DWrite,35861256256.0,1
adi,L2 DMisses,92480052096.0,1
adi,L2 Access,52640290880.0,1
adi,LST,28858969532.0,1
adi,L2 Misses,93818030656.0,2
adi,L2 DRead + DWrite,36076847872.0,2
adi,L2 DMisses,93818030656.0,2
adi,L2 Access,52676288576.0,2
adi,LST,28838296708.0,2
adi,L2 Misses,93498515520.0,3
adi,L2 DRead + DWrite,35620364096.0,3
adi,L2 DMisses,93498515520.0,3
adi,L2 Access,52582461504.0,3
adi,LST,28845695920.0,3
adi,L2 Misses,93858378176.0,4
adi,L2 DRead + DWrite,35989565568.0,4
adi,L2 DMisses,93858378176.0,4
adi,L2 Access,52756575744.0,4
adi,LST,28818278032.0,4
adi,L2 Misses,92936851328.0,5
adi,L2 DRead + DWrite,36053066560.0,5
adi,L2 DMisses,92936851328.0,5
adi,L2 Access,52712436800.0,5
adi,LST,28869567968.0,5
adi,L2 Misses,93664038144.0,6
adi,L2 DRead + DWrite,36144600512.0,6
adi,L2 DMisses,93664038144.0,6
adi,L2 Access,52738217472.0,6
adi,LST,28854347716.0,6
adi,L2 Misses,93179036992.0,7
adi,L2 DRead + DWrite,35662714816.0,7
adi,L2 DMisses,93179036992.0,7
adi,L2 Access,52589890688.0,7
adi,LST,28847582532.0,7
adi,L2 Misses,93961742528.0,8
adi,L2 DRead + DWrite,35997617280.0,8
adi,L2 DMisses,93961742528.0,8
adi,L2 Access,52632362304.0,8
adi,LST,28849285084.0,8
adi,L2 Misses,92344262592.0,9
adi,L2 DRead + DWrite,35617724800.0,9
adi,L2 DMisses,92344262592.0,9
adi,L2 Access,52495176512.0,9
adi,LST,28898861492.0,9
adi,L2 Misses,92941139904.0,10
adi,L2 DRead + DWrite,36034534080.0,10
adi,L2 DMisses,92941139904.0,10
adi,L2 Access,52705894528.0,10
adi,LST,28855822564.0,10
arc_distance,L2 Misses,3323462400.0,1
