benchmark,metric,value,repetition
arc_distance,L3 Access,3321495296.0,7
arc_distance,LST,7315425928.0,7
arc_distance,L3 Misses,2769777472.0,8
arc_distance,L3 DRead + DWrite,289915712.0,8
arc_distance,L3 DMisses,2769777472.0,8
arc_distance,L3 Access,3324476096.0,8
arc_distance,LST,7318412468.0,8
arc_distance,L3 Misses,2752897792.0,9
arc_distance,L3 DRead + DWrite,284083584.0,9
arc_distance,L3 DMisses,2752897792.0,9
arc_distance,L3 Access,3324150016.0,9
arc_distance,LST,7314734296.0,9
arc_distance,L3 Misses,2768785856.0,10
arc_distance,L3 DRead + DWrite,292948160.0,10
arc_distance,L3 DMisses,2768785856.0,10
arc_distance,L3 Access,3326410560.0,10
arc_distance,LST,7314658576.0,10
atax,L3 Misses,20495667200.0,1
atax,L3 DRead + DWrite,31034960512.0,1
atax,L3 DMisses,20495667200.0,1
atax,L3 Access,55672604352.0,1
atax,LST,20046365472.0,1
atax,L3 Misses,20461437376.0,2
atax,L3 DRead + DWrite,31311806272.0,2
atax,L3 DMisses,20461437376.0,2
atax,L3 Access,55678739712.0,2
atax,LST,20051724048.0,2
atax,L3 Misses,20490745856.0,3
atax,L3 DRead + DWrite,31585691328.0,3
atax,L3 DMisses,20490745856.0,3
atax,L3 Access,55703601088.0,3
atax,LST,20048450800.0,3
atax,L3 Misses,20561912512.0,4
atax,L3 DRead + DWrite,31143008320.0,4
atax,L3 DMisses,20561912512.0,4
atax,L3 Access,55479435968.0,4
atax,LST,20048205704.0,4
atax,L3 Misses,20476553984.0,5
atax,L3 DRead + DWrite,31325871552.0,5
atax,L3 DMisses,20476553984.0,5
atax,L3 Access,55861049344.0,5
atax,LST,20044405632.0,5
atax,L3 Misses,20500209792.0,6
atax,L3 DRead + DWrite,31310504448.0,6
atax,L3 DMisses,20500209792.0,6
atax,L3 Access,55760120128.0,6
atax,LST,20056269768.0,6
atax,L3 Misses,20589844352.0,7
atax,L3 DRead + DWrite,31501777472.0,7
atax,L3 DMisses,20589844352.0,7
atax,L3 Access,55722858240.0,7
atax,LST,20052750180.0,7
atax,L3 Misses,20341475008.0,8
atax,L3 DRead + DWrite,31536934848.0,8
atax,L3 DMisses,20341475008.0,8
atax,L3 Access,55699666496.0,8
atax,LST,20048825000.0,8
atax,L3 Misses,20623792768.0,9
atax,L3 DRead + DWrite,31558083840.0,9
atax,L3 DMisses,20623792768.0,9
atax,L3 Access,55731846848.0,9
atax,LST,20037601784.0,9
atax,L3 Misses,20479014272.0,10
atax,L3 DRead + DWrite,31512726912.0,10
atax,L3 DMisses,20479014272.0,10
atax,L3 Access,55698865536.0,10
atax,LST,20048414644.0,10
azimint_hist,L3 Misses,0.0,1
azimint_hist,L3 DRead + DWrite,0.0,1
azimint_hist,L3 DMisses,0.0,1
azimint_hist,L3 Access,0.0,1
azimint_hist,LST,0.0,1
azimint_hist,L3 Misses,0.0,2
azimint_hist,L3 DRead + DWrite,0.0,2
azimint_hist,L3 DMisses,0.0,2
azimint_hist,L3 Access,0.0,2
azimint_hist,LST,0.0,2
azimint_hist,L3 Misses,0.0,3
azimint_hist,L3 DRead + DWrite,0.0,3
azimint_hist,L3 DMisses,0.0,3
azimint_hist,L3 Access,0.0,3
azimint_hist,LST,0.0,3
azimint_hist,L3 Misses,0.0,4
azimint_hist,L3 DRead + DWrite,0.0,4
azimint_hist,L3 DMisses,0.0,4
azimint_hist,L3 Access,0.0,4
azimint_hist,LST,0.0,4
azimint_hist,L3 Misses,0.0,5
azimint_hist,L3 DRead + DWrite,0.0,5
azimint_hist,L3 DMisses,0.0,5
azimint_hist,L3 Access,0.0,5
azimint_hist,LST,0.0,5
azimint_hist,L3 Misses,0.0,6
azimint_hist,L3 DRead + DWrite,0.0,6
azimint_hist,L3 DMisses,0.0,6
azimint_hist,L3 Access,0.0,6
azimint_hist,LST,0.0,6
azimint_hist,L3 Misses,0.0,7
azimint_hist,L3 DRead + DWrite,0.0,7
azimint_hist,L3 DMisses,0.0,7
azimint_hist,L3 Access,0.0,7
azimint_hist,LST,0.0,7
azimint_hist,L3 Misses,0.0,8
azimint_hist,L3 DRead + DWrite,0.0,8
azimint_hist,L3 DMisses,0.0,8
azimint_hist,L3 Access,0.0,8
azimint_hist,LST,0.0,8
azimint_hist,L3 Misses,0.0,9
azimint_hist,L3 DRead + DWrite,0.0,9
azimint_hist,L3 DMisses,0.0,9
azimint_hist,L3 Access,0.0,9
azimint_hist,LST,0.0,9
azimint_hist,L3 Misses,0.0,10
azimint_hist,L3 DRead + DWrite,0.0,10
azimint_hist,L3 DMisses,0.0,10
azimint_hist,L3 Access,0.0,10
azimint_hist,LST,0.0,10
azimint_naive,L3 Misses,850438969216.0,1
azimint_naive,L3 DRead + DWrite,0.0,1
azimint_naive,L3 DMisses,850438969216.0,1
azimint_naive,L3 Access,0.0,1
azimint_naive,LST,0.0,1
azimint_naive,L3 Misses,858783006080.0,2
azimint_naive,L3 DRead + DWrite,0.0,2
azimint_naive,L3 DMisses,858783006080.0,2
azimint_naive,L3 Access,0.0,2
azimint_naive,LST,0.0,2
azimint_naive,L3 Misses,866001097664.0,3
azimint_naive,L3 DRead + DWrite,0.0,3
azimint_naive,L3 DMisses,866001097664.0,3
azimint_naive,L3 Access,0.0,3
azimint_naive,LST,0.0,3
azimint_naive,L3 Misses,859279380544.0,4
azimint_naive,L3 DRead + DWrite,0.0,4
azimint_naive,L3 DMisses,859279380544.0,4
azimint_naive,L3 Access,0.0,4
azimint_naive,LST,0.0,4
azimint_naive,L3 Misses,838484209280.0,5
azimint_naive,L3 DRead + DWrite,0.0,5
azimint_naive,L3 DMisses,838484209280.0,5
azimint_naive,L3 Access,0.0,5
azimint_naive,LST,0.0,5
azimint_naive,L3 Misses,859875123648.0,6
azimint_naive,L3 DRead + DWrite,0.0,6
azimint_naive,L3 DMisses,859875123648.0,6
azimint_naive,L3 Access,0.0,6
azimint_naive,LST,0.0,6
azimint_naive,L3 Misses,860791097856.0,7
azimint_naive,L3 DRead + DWrite,0.0,7
azimint_naive,L3 DMisses,860791097856.0,7
azimint_naive,L3 Access,0.0,7
azimint_naive,LST,0.0,7
azimint_naive,L3 Misses,864098258944.0,8
azimint_naive,L3 DRead + DWrite,0.0,8
azimint_naive,L3 DMisses,864098258944.0,8
azimint_naive,L3 Access,0.0,8
azimint_naive,LST,0.0,8
azimint_naive,L3 Misses,858221823552.0,9
azimint_naive,L3 DRead + DWrite,0.0,9
azimint_naive,L3 DMisses,858221823552.0,9
azimint_naive,L3 Access,0.0,9
azimint_naive,LST,0.0,9
azimint_naive,L3 Misses,858624623744.0,10
azimint_naive,L3 DRead + DWrite,0.0,10
azimint_naive,L3 DMisses,858624623744.0,10
azimint_naive,L3 Access,0.0,10
azimint_naive,LST,0.0,10
bicg,L3 Misses,40457504704.0,1
bicg,L3 DRead + DWrite,32155911168.0,1
bicg,L3 DMisses,40457504704.0,1
bicg,L3 Access,57768438592.0,1
bicg,LST,20050714032.0,1
bicg,L3 Misses,40338462400.0,2
bicg,L3 DRead + DWrite,32155876288.0,2
bicg,L3 DMisses,40338462400.0,2
bicg,L3 Access,57707963840.0,2
bicg,LST,20053978608.0,2
bicg,L3 Misses,40606728448.0,3
bicg,L3 DRead + DWrite,32158303360.0,3
bicg,L3 DMisses,40606728448.0,3
bicg,L3 Access,57761346432.0,3
bicg,LST,20050355200.0,3
bicg,L3 Misses,40374594688.0,4
bicg,L3 DRead + DWrite,32158887680.0,4
bicg,L3 DMisses,40374594688.0,4
bicg,L3 Access,57699658752.0,4
bicg,LST,20048839964.0,4
bicg,L3 Misses,40691413760.0,5
bicg,L3 DRead + DWrite,32155911424.0,5
bicg,L3 DMisses,40691413760.0,5
bicg,L3 Access,57768014528.0,5
bicg,LST,20052010756.0,5
bicg,L3 Misses,40363481856.0,6
bicg,L3 DRead + DWrite,32154978048.0,6
bicg,L3 DMisses,40363481856.0,6
bicg,L3 Access,57707495616.0,6
bicg,LST,20052285076.0,6
bicg,L3 Misses,40617986112.0,7
bicg,L3 DRead + DWrite,32159454592.0,7
bicg,L3 DMisses,40617986112.0,7
bicg,L3 Access,57761266624.0,7
bicg,LST,20050101812.0,7
bicg,L3 Misses,40318786496.0,8
bicg,L3 DRead + DWrite,32159214656.0,8
bicg,L3 DMisses,40318786496.0,8
bicg,L3 Access,57698963520.0,8
bicg,LST,20049305240.0,8
bicg,L3 Misses,40461170816.0,9
bicg,L3 DRead + DWrite,32156332992.0,9
bicg,L3 DMisses,40461170816.0,9
bicg,L3 Access,57771756992.0,9
bicg,LST,20045544508.0,9
bicg,L3 Misses,40366744064.0,10
bicg,L3 DRead + DWrite,32156098624.0,10
bicg,L3 DMisses,40366744064.0,10
bicg,L3 Access,57707277248.0,10
bicg,LST,20055400988.0,10
cavity_flow,L3 Misses,1915247936.0,1
cavity_flow,L3 DRead + DWrite,3166344576.0,1
cavity_flow,L3 DMisses,1915247936.0,1
cavity_flow,L3 Access,8304645248.0,1
cavity_flow,LST,11321908248.0,1
cavity_flow,L3 Misses,1907419520.0,2
cavity_flow,L3 DRead + DWrite,3164866624.0,2
cavity_flow,L3 DMisses,1907419520.0,2
cavity_flow,L3 Access,8285815424.0,2
cavity_flow,LST,11308202572.0,2
cavity_flow,L3 Misses,1915450432.0,3
cavity_flow,L3 DRead + DWrite,3157332096.0,3
cavity_flow,L3 DMisses,1915450432.0,3
cavity_flow,L3 Access,8272365440.0,3
cavity_flow,LST,11300958404.0,3
cavity_flow,L3 Misses,1913974464.0,4
cavity_flow,L3 DRead + DWrite,3131611520.0,4
cavity_flow,L3 DMisses,1913974464.0,4
cavity_flow,L3 Access,8293587072.0,4
cavity_flow,LST,11311133576.0,4
cavity_flow,L3 Misses,1922165120.0,5
cavity_flow,L3 DRead + DWrite,3141541888.0,5
cavity_flow,L3 DMisses,1922165120.0,5
cavity_flow,L3 Access,8336862656.0,5
cavity_flow,LST,11317213768.0,5
cavity_flow,L3 Misses,1908513344.0,6
cavity_flow,L3 DRead + DWrite,3142622784.0,6
cavity_flow,L3 DMisses,1908513344.0,6
cavity_flow,L3 Access,8323129408.0,6
cavity_flow,LST,11317747464.0,6
cavity_flow,L3 Misses,1911162240.0,7
cavity_flow,L3 DRead + DWrite,3123765696.0,7
cavity_flow,L3 DMisses,1911162240.0,7
cavity_flow,L3 Access,8364050304.0,7
cavity_flow,LST,11307205812.0,7
cavity_flow,L3 Misses,1915113216.0,8
cavity_flow,L3 DRead + DWrite,3129353408.0,8
cavity_flow,L3 DMisses,1915113216.0,8
cavity_flow,L3 Access,8329309824.0,8
cavity_flow,LST,11308768928.0,8
cavity_flow,L3 Misses,1923168640.0,9
cavity_flow,L3 DRead + DWrite,3150043008.0,9
cavity_flow,L3 DMisses,1923168640.0,9
cavity_flow,L3 Access,8289290944.0,9
cavity_flow,LST,11307132464.0,9
cavity_flow,L3 Misses,1915456064.0,10
cavity_flow,L3 DRead + DWrite,3130452416.0,10
cavity_flow,L3 DMisses,1915456064.0,10
cavity_flow,L3 Access,8299133376.0,10
cavity_flow,LST,11310615024.0,10
cholesky,L3 Misses,56806874624.0,1
cholesky,L3 DRead + DWrite,0.0,1
cholesky,L3 DMisses,56806874624.0,1
cholesky,L3 Access,0.0,1
cholesky,LST,36127742832.0,1
cholesky,L3 Misses,62128644992.0,2
cholesky,L3 DRead + DWrite,0.0,2
cholesky,L3 DMisses,62128644992.0,2
cholesky,L3 Access,0.0,2
cholesky,LST,35874032108.0,2
cholesky,L3 Misses,56851133760.0,3
cholesky,L3 DRead + DWrite,0.0,3
cholesky,L3 DMisses,56851133760.0,3
cholesky,L3 Access,0.0,3
cholesky,LST,36143157180.0,3
cholesky,L3 Misses,61443670336.0,4
cholesky,L3 DRead + DWrite,0.0,4
cholesky,L3 DMisses,61443670336.0,4
cholesky,L3 Access,0.0,4
cholesky,LST,35858705848.0,4
cholesky,L3 Misses,56318333184.0,5
cholesky,L3 DRead + DWrite,0.0,5
cholesky,L3 DMisses,56318333184.0,5
cholesky,L3 Access,0.0,5
cholesky,LST,36105788032.0,5
cholesky,L3 Misses,61302780224.0,6
cholesky,L3 DRead + DWrite,0.0,6
cholesky,L3 DMisses,61302780224.0,6
cholesky,L3 Access,0.0,6
cholesky,LST,35835563968.0,6
cholesky,L3 Misses,56757632448.0,7
cholesky,L3 DRead + DWrite,0.0,7
cholesky,L3 DMisses,56757632448.0,7
cholesky,L3 Access,0.0,7
cholesky,LST,36080791456.0,7
cholesky,L3 Misses,61071784576.0,8
cholesky,L3 DRead + DWrite,0.0,8
cholesky,L3 DMisses,61071784576.0,8
cholesky,L3 Access,0.0,8
cholesky,LST,35828190828.0,8
cholesky,L3 Misses,55752543104.0,9
cholesky,L3 DRead + DWrite,0.0,9
cholesky,L3 DMisses,55752543104.0,9
cholesky,L3 Access,0.0,9
cholesky,LST,36223546160.0,9
cholesky,L3 Misses,60497276352.0,10
cholesky,L3 DRead + DWrite,0.0,10
cholesky,L3 DMisses,60497276352.0,10
cholesky,L3 Access,0.0,10
cholesky,LST,35828046184.0,10
compute,L3 Misses,22238592448.0,1
compute,L3 DRead + DWrite,2376027456.0,1
compute,L3 DMisses,22238592448.0,1
compute,L3 Access,26452219456.0,1
compute,LST,15454210784.0,1
compute,L3 Misses,23027281216.0,2
compute,L3 DRead + DWrite,2439806592.0,2
compute,L3 DMisses,23027281216.0,2
compute,L3 Access,26481928512.0,2
compute,LST,15433538700.0,2
compute,L3 Misses,22257465536.0,3
compute,L3 DRead + DWrite,2384631360.0,3
compute,L3 DMisses,22257465536.0,3
compute,L3 Access,26454302080.0,3
compute,LST,15453977440.0,3
compute,L3 Misses,23018070336.0,4
compute,L3 DRead + DWrite,2430620224.0,4
compute,L3 DMisses,23018070336.0,4
compute,L3 Access,26483106560.0,4
compute,LST,15433372328.0,4
compute,L3 Misses,22268742528.0,5
compute,L3 DRead + DWrite,2376145536.0,5
compute,L3 DMisses,22268742528.0,5
compute,L3 Access,26452592256.0,5
compute,LST,15451643836.0,5
compute,L3 Misses,23031981504.0,6
compute,L3 DRead + DWrite,2424505280.0,6
compute,L3 DMisses,23031981504.0,6
compute,L3 Access,26482073600.0,6
compute,LST,15431638932.0,6
compute,L3 Misses,22241601792.0,7
compute,L3 DRead + DWrite,2372912576.0,7
compute,L3 DMisses,22241601792.0,7
compute,L3 Access,26454383680.0,7
compute,LST,15452584784.0,7
compute,L3 Misses,23054210752.0,8
compute,L3 DRead + DWrite,2443588480.0,8
compute,L3 DMisses,23054210752.0,8
compute,L3 Access,26483239424.0,8
compute,LST,15433573068.0,8
compute,L3 Misses,22251882240.0,9
compute,L3 DRead + DWrite,2372133440.0,9
compute,L3 DMisses,22251882240.0,9
compute,L3 Access,26452219584.0,9
compute,LST,15452385596.0,9
compute,L3 Misses,23071904384.0,10
compute,L3 DRead + DWrite,2435766400.0,10
compute,L3 DMisses,23071904384.0,10
compute,L3 Access,26481981760.0,10
compute,LST,15433942500.0,10
conv2d_bias,L3 Misses,974418112.0,1
conv2d_bias,L3 DRead + DWrite,13612055744.0,1
conv2d_bias,L3 DMisses,974418112.0,1
conv2d_bias,L3 Access,23146643584.0,1
conv2d_bias,LST,21344979836.0,1
conv2d_bias,L3 Misses,977644864.0,2
conv2d_bias,L3 DRead + DWrite,13755318208.0,2
conv2d_bias,L3 DMisses,977644864.0,2
conv2d_bias,L3 Access,23424135488.0,2
conv2d_bias,LST,21272875104.0,2
conv2d_bias,L3 Misses,990385792.0,3
conv2d_bias,L3 DRead + DWrite,13657228416.0,3
conv2d_bias,L3 DMisses,990385792.0,3
conv2d_bias,L3 Access,42966842368.0,3
conv2d_bias,LST,21554313120.0,3
conv2d_bias,L3 Misses,995196288.0,4
conv2d_bias,L3 DRead + DWrite,13118699328.0,4
conv2d_bias,L3 DMisses,995196288.0,4
conv2d_bias,L3 Access,43207136832.0,4
conv2d_bias,LST,21073082868.0,4
conv2d_bias,L3 Misses,976016000.0,5
conv2d_bias,L3 DRead + DWrite,13469969088.0,5
conv2d_bias,L3 DMisses,976016000.0,5
conv2d_bias,L3 Access,32334123328.0,5
conv2d_bias,LST,21519677988.0,5
conv2d_bias,L3 Misses,978186048.0,6
conv2d_bias,L3 DRead + DWrite,13603742400.0,6
conv2d_bias,L3 DMisses,978186048.0,6
conv2d_bias,L3 Access,29385020160.0,6
conv2d_bias,LST,23034202096.0,6
conv2d_bias,L3 Misses,982175872.0,7
conv2d_bias,L3 DRead + DWrite,13436255552.0,7
conv2d_bias,L3 DMisses,982175872.0,7
conv2d_bias,L3 Access,28224947584.0,7
conv2d_bias,LST,21756287592.0,7
conv2d_bias,L3 Misses,981837824.0,8
conv2d_bias,L3 DRead + DWrite,13760481728.0,8
conv2d_bias,L3 DMisses,981837824.0,8
conv2d_bias,L3 Access,28604191744.0,8
conv2d_bias,LST,21605799112.0,8
conv2d_bias,L3 Misses,977700224.0,9
conv2d_bias,L3 DRead + DWrite,13730600000.0,9
conv2d_bias,L3 DMisses,977700224.0,9
conv2d_bias,L3 Access,26119038528.0,9
conv2d_bias,LST,22179073292.0,9
conv2d_bias,L3 Misses,978725120.0,10
conv2d_bias,L3 DRead + DWrite,13108340608.0,10
conv2d_bias,L3 DMisses,978725120.0,10
conv2d_bias,L3 Access,41324578624.0,10
conv2d_bias,LST,21612583144.0,10
correlation,L3 Misses,110853946176.0,1
correlation,L3 DRead + DWrite,2623651351232.0,1
correlation,L3 DMisses,110853946176.0,1
correlation,L3 Access,2625663513344.0,1
correlation,LST,414312816744.0,1
correlation,L3 Misses,110924831040.0,2
correlation,L3 DRead + DWrite,2623667928704.0,2
correlation,L3 DMisses,110924831040.0,2
correlation,L3 Access,2625699459712.0,2
correlation,LST,414302709964.0,2
correlation,L3 Misses,111677481088.0,3
correlation,L3 DRead + DWrite,2623611309120.0,3
correlation,L3 DMisses,111677481088.0,3
correlation,L3 Access,2625669556864.0,3
correlation,LST,414418145892.0,3
correlation,L3 Misses,111664987136.0,4
correlation,L3 DRead + DWrite,2623666865152.0,4
correlation,L3 DMisses,111664987136.0,4
correlation,L3 Access,2625705268480.0,4
correlation,LST,414479859648.0,4
correlation,L3 Misses,110635536768.0,5
correlation,L3 DRead + DWrite,2623648845056.0,5
correlation,L3 DMisses,110635536768.0,5
correlation,L3 Access,2625655980736.0,5
correlation,LST,414313316668.0,5
correlation,L3 Misses,110628877888.0,6
correlation,L3 DRead + DWrite,2623685047872.0,6
correlation,L3 DMisses,110628877888.0,6
correlation,L3 Access,2625728366144.0,6
correlation,LST,414315955396.0,6
correlation,L3 Misses,112502618304.0,7
correlation,L3 DRead + DWrite,2623622734592.0,7
correlation,L3 DMisses,112502618304.0,7
correlation,L3 Access,2625673260224.0,7
correlation,LST,414377751376.0,7
correlation,L3 Misses,112512335232.0,8
correlation,L3 DRead + DWrite,2623649693824.0,8
correlation,L3 DMisses,112512335232.0,8
correlation,L3 Access,2625710443456.0,8
correlation,LST,414399908460.0,8
correlation,L3 Misses,112012664512.0,9
correlation,L3 DRead + DWrite,2623653535040.0,9
correlation,L3 DMisses,112012664512.0,9
correlation,L3 Access,2625651875008.0,9
correlation,LST,414343362320.0,9
correlation,L3 Misses,111995817088.0,10
correlation,L3 DRead + DWrite,2623671147072.0,10
correlation,L3 DMisses,111995817088.0,10
correlation,L3 Access,2625751230400.0,10
correlation,LST,414370878592.0,10
covariance,L3 Misses,113696826176.0,1
covariance,L3 DRead + DWrite,2623915621568.0,1
covariance,L3 DMisses,113696826176.0,1
covariance,L3 Access,2625513386496.0,1
covariance,LST,414225271160.0,1
covariance,L3 Misses,113760843456.0,2
covariance,L3 DRead + DWrite,2623900564288.0,2
covariance,L3 DMisses,113760843456.0,2
covariance,L3 Access,2625539222208.0,2
covariance,LST,414279118280.0,2
covariance,L3 Misses,115908640384.0,3
covariance,L3 DRead + DWrite,2623897938816.0,3
covariance,L3 DMisses,115908640384.0,3
covariance,L3 Access,2625485557440.0,3
covariance,LST,414093256704.0,3
covariance,L3 Misses,115899204928.0,4
covariance,L3 DRead + DWrite,2623911558208.0,4
covariance,L3 DMisses,115899204928.0,4
covariance,L3 Access,2625506163584.0,4
covariance,LST,414111211272.0,4
covariance,L3 Misses,110896297472.0,5
covariance,L3 DRead + DWrite,2623905009536.0,5
covariance,L3 DMisses,110896297472.0,5
covariance,L3 Access,2625514261696.0,5
covariance,LST,414223401400.0,5
covariance,L3 Misses,110880371200.0,6
covariance,L3 DRead + DWrite,2623927414080.0,6
covariance,L3 DMisses,110880371200.0,6
covariance,L3 Access,2625569675904.0,6
covariance,LST,414254965320.0,6
covariance,L3 Misses,110214945280.0,7
covariance,L3 DRead + DWrite,2623896922560.0,7
covariance,L3 DMisses,110214945280.0,7
covariance,L3 Access,2625509774784.0,7
covariance,LST,414111590916.0,7
covariance,L3 Misses,110154453056.0,8
covariance,L3 DRead + DWrite,2623905068096.0,8
covariance,L3 DMisses,110154453056.0,8
covariance,L3 Access,2625550899904.0,8
covariance,LST,414115038240.0,8
covariance,L3 Misses,112444473344.0,9
covariance,L3 DRead + DWrite,2623912101504.0,9
covariance,L3 DMisses,112444473344.0,9
covariance,L3 Access,2625511758080.0,9
covariance,LST,414181432268.0,9
covariance,L3 Misses,112548156736.0,10
covariance,L3 DRead + DWrite,2623926939968.0,10
covariance,L3 DMisses,112548156736.0,10
covariance,L3 Access,2625553432768.0,10
covariance,LST,414211599332.0,10
crc16,L3 Misses,11392.0,1
crc16,L3 DRead + DWrite,31488.0,1
crc16,L3 DMisses,11392.0,1
crc16,L3 Access,213376.0,1
crc16,LST,10579348.0,1
crc16,L3 Misses,12352.0,2
crc16,L3 DRead + DWrite,28288.0,2
crc16,L3 DMisses,12352.0,2
crc16,L3 Access,204736.0,2
crc16,LST,10197348.0,2
crc16,L3 Misses,12736.0,3
crc16,L3 DRead + DWrite,28288.0,3
crc16,L3 DMisses,12736.0,3
crc16,L3 Access,207680.0,3
crc16,LST,10386532.0,3
crc16,L3 Misses,13376.0,4
crc16,L3 DRead + DWrite,31744.0,4
crc16,L3 DMisses,13376.0,4
crc16,L3 Access,209472.0,4
crc16,LST,10079224.0,4
crc16,L3 Misses,12352.0,5
crc16,L3 DRead + DWrite,33408.0,5
crc16,L3 DMisses,12352.0,5
crc16,L3 Access,212480.0,5
crc16,LST,10216232.0,5
crc16,L3 Misses,13248.0,6
crc16,L3 DRead + DWrite,31808.0,6
crc16,L3 DMisses,13248.0,6
crc16,L3 Access,214016.0,6
crc16,LST,10119808.0,6
crc16,L3 Misses,13184.0,7
crc16,L3 DRead + DWrite,29120.0,7
crc16,L3 DMisses,13184.0,7
crc16,L3 Access,210752.0,7
crc16,LST,10588268.0,7
crc16,L3 Misses,9216.0,8
crc16,L3 DRead + DWrite,29568.0,8
crc16,L3 DMisses,9216.0,8
crc16,L3 Access,213248.0,8
crc16,LST,10115116.0,8
crc16,L3 Misses,11072.0,9
crc16,L3 DRead + DWrite,27328.0,9
crc16,L3 DMisses,11072.0,9
crc16,L3 Access,211456.0,9
crc16,LST,10095084.0,9
crc16,L3 Misses,12224.0,10
crc16,L3 DRead + DWrite,29568.0,10
crc16,L3 DMisses,12224.0,10
crc16,L3 Access,211712.0,10
crc16,LST,10096252.0,10
deriche,L3 Misses,8293595072.0,1
deriche,L3 DRead + DWrite,13309137216.0,1
deriche,L3 DMisses,8293595072.0,1
deriche,L3 Access,25853290688.0,1
deriche,LST,12213894744.0,1
deriche,L3 Misses,8313843392.0,2
deriche,L3 DRead + DWrite,13287362240.0,2
deriche,L3 DMisses,8313843392.0,2
deriche,L3 Access,26104406976.0,2
deriche,LST,12198697928.0,2
deriche,L3 Misses,8312489216.0,3
deriche,L3 DRead + DWrite,13285796992.0,3
deriche,L3 DMisses,8312489216.0,3
deriche,L3 Access,26176522048.0,3
deriche,LST,12189720564.0,3
deriche,L3 Misses,8372971328.0,4
deriche,L3 DRead + DWrite,13287316864.0,4
deriche,L3 DMisses,8372971328.0,4
deriche,L3 Access,26070489344.0,4
deriche,LST,12192545296.0,4
deriche,L3 Misses,8317228288.0,5
deriche,L3 DRead + DWrite,13315302656.0,5
deriche,L3 DMisses,8317228288.0,5
deriche,L3 Access,26125592128.0,5
deriche,LST,12190687904.0,5
deriche,L3 Misses,8364267904.0,6
deriche,L3 DRead + DWrite,13320087680.0,6
deriche,L3 DMisses,8364267904.0,6
