benchmark,metric,value,repetition
adi,L3 Misses,26965232128.0,1
adi,L3 DRead + DWrite,47952361216.0,1
adi,L3 DMisses,26965232128.0,1
adi,L3 Access,93166339264.0,1
adi,LST,28858969532.0,1
adi,L3 Misses,27465425664.0,2
adi,L3 DRead + DWrite,48318315968.0,2
adi,L3 DMisses,27465425664.0,2
adi,L3 Access,93238812288.0,2
adi,LST,28838296708.0,2
adi,L3 Misses,27419766400.0,3
adi,L3 DRead + DWrite,47878525696.0,3
adi,L3 DMisses,27419766400.0,3
adi,L3 Access,93661139136.0,3
adi,LST,28845695920.0,3
adi,L3 Misses,27739791872.0,4
adi,L3 DRead + DWrite,48064031872.0,4
adi,L3 DMisses,27739791872.0,4
adi,L3 Access,94140354368.0,4
adi,LST,28818278032.0,4
adi,L3 Misses,27444712000.0,5
adi,L3 DRead + DWrite,47736247872.0,5
adi,L3 DMisses,27444712000.0,5
adi,L3 Access,92833009856.0,5
adi,LST,28869567968.0,5
adi,L3 Misses,27521327424.0,6
adi,L3 DRead + DWrite,48269309120.0,6
adi,L3 DMisses,27521327424.0,6
adi,L3 Access,94112928000.0,6
adi,LST,28854347716.0,6
adi,L3 Misses,27255261184.0,7
adi,L3 DRead + DWrite,47894690240.0,7
adi,L3 DMisses,27255261184.0,7
adi,L3 Access,94331387840.0,7
adi,LST,28847582532.0,7
adi,L3 Misses,27392849920.0,8
adi,L3 DRead + DWrite,48286250688.0,8
adi,L3 DMisses,27392849920.0,8
adi,L3 Access,93893540864.0,8
adi,LST,28849285084.0,8
adi,L3 Misses,27496818496.0,9
adi,L3 DRead + DWrite,48023317632.0,9
adi,L3 DMisses,27496818496.0,9
adi,L3 Access,94414143808.0,9
adi,LST,28898861492.0,9
adi,L3 Misses,27295080960.0,10
adi,L3 DRead + DWrite,48351319040.0,10
adi,L3 DMisses,27295080960.0,10
adi,L3 Access,94147012864.0,10
adi,LST,28855822564.0,10
arc_distance,L3 Misses,2754027648.0,1
arc_distance,L3 DRead + DWrite,285531520.0,1
arc_distance,L3 DMisses,2754027648.0,1
arc_distance,L3 Access,3323504320.0,1
arc_distance,LST,7313103860.0,1
arc_distance,L3 Misses,2763274624.0,2
arc_distance,L3 DRead + DWrite,293605504.0,2
arc_distance,L3 DMisses,2763274624.0,2
arc_distance,L3 Access,3326697600.0,2
arc_distance,LST,7315541016.0,2
arc_distance,L3 Misses,2750576640.0,3
arc_distance,L3 DRead + DWrite,284474240.0,3
arc_distance,L3 DMisses,2750576640.0,3
arc_distance,L3 Access,3322366720.0,3
arc_distance,LST,7315259320.0,3
arc_distance,L3 Misses,2761515584.0,4
arc_distance,L3 DRead + DWrite,294029568.0,4
arc_distance,L3 DMisses,2761515584.0,4
arc_distance,L3 Access,3324806848.0,4
arc_distance,LST,7314856252.0,4
arc_distance,L3 Misses,2754663040.0,5
arc_distance,L3 DRead + DWrite,285098112.0,5
arc_distance,L3 DMisses,2754663040.0,5
arc_distance,L3 Access,3325148544.0,5
arc_distance,LST,7315407656.0,5
arc_distance,L3 Misses,2778508928.0,6
arc_distance,L3 DRead + DWrite,288980352.0,6
arc_distance,L3 DMisses,2778508928.0,6
arc_distance,L3 Access,3326651904.0,6
arc_distance,LST,7314807956.0,6
arc_distance,L3 Misses,2751232064.0,7
arc_distance,L3 DRead + DWrite,282639040.0,7
arc_distance,L3 DMisses,2751232064.0,7
