kernel,preset,symbolic_volume_read_bytes,symbolic_volume_write_bytes,work
adi,L,3968860976,1192411360,372105613
arc_distance,L,319999968,79999992,180000000
atax,L,7999640000,359984,45000
azimint_hist,L,5750063992,650056024,400005004
azimint_naive,L,961277515976,2523992,"Piecewise((80000006000, __tmp_32_15_r))"
bicg,L,7999640000,359984,45000
cavity_flow,L,5372344800,1503428000,910853100
channel_flow,L,66283352,15074976,0
cholesky2,L,3071168056,3071168060,128000001
cholesky,L,1960215584,12981584,1216348
compute,L,10239488016,2047744008,1024000000
contour_integral,L,4659283840,3266133152,"Sum(Piecewise((720003*slab_per_bc + 2520005, Abs(int_pts(idx)) < 1.0)), (idx, 0, 31))"
conv2d_bias,L,580837796,457920288,544688704
covariance,L,164218854400,348153592,35849600
deriche,L,5181408768,2014944504,575811037
durbin,L,11200559984,4800879992,400099994
fdtd_2d,L,6028698000,2582890800,1185960750
floyd_warshall,L,"4*Sum(Max(k, N - 1)**2, (k, 0, 849)) + 2450723400",4901446800,614125000
gemm,L,3083404040,1287648024,213500000
gemver,L,3200559928,1600079976,500060000
gesummv,L,9407552000,3135887992,392042000
go_fast,L,6400320008,3200160016,400040000
gramschmidt,L,3005608000,608593216,150125750
hdiff,L,1314421200,562206192,449682560
heat_3d,L,996766848,952817184,933863040
jacobi_1d,L,4623320016,4623048048,1733694012
jacobi_2d,L,1555705584,1546815856,969535960
k2mm,L,3153256056,1367580032,216000000
k3mm,L,1971384048,901704024,112750000
lenet,L,476*C_before_fc1 + 632855248,392205376,331487328
ludcmp,L,1479907000,10197184,1059175
lu,L,1839126800,11754400,1224650
mlp,L,7208639820,6719888,2400000
mvt,L,7744351968,703968,88000
resnet,L,2869888600,1244766520,913848960
scattering_self_energies,L,201553920,82114560,"Sum(Piecewise((27648, E >= w)), (w, 0, 2), (q, 0, 2), (E, 0, 9), (k, 0, 2))"
seidel_2d,L,97914960,61096464,13760604
softmax,L,3024491400,1517314680,822083584
spmv,L,-3145728*A_row(i) + 3145728*A_row(i + 1) + 549756862444,4194296,262144
symm,L,1360582808,277965608,68722500
syr2k,L,1350883200,227441600,168500200
syrk,L,2173684800,727442400,180780300
trisolv,L,1568560000,672000,42000
trmm,L,2016474408,1008232008,1260000
vadv,L,904223272,573841544,154774800
adi,paper,1255161776,377942560,117691213
arc_distance,paper,319999968,79999992,180000000
atax,paper,6335680000,319984,40000
azimint_hist,paper,143816024,16306040,10005004
azimint_naive,paper,24031953984,86496,"Piecewise((2000006000, __tmp_32_15_r))"
bicg,paper,6335680000,319984,40000
cavity_flow,paper,20954645600,5994012000,3225033700
channel_flow,paper,35882864,8615864,0
cholesky2,paper,191792056,191792060,8000001
cholesky,paper,21413367984,64047984,6002998
compute,paper,6249600016,1249800008,625000000
contour_integral,paper,3574855040,2567576352,"Sum(Piecewise((500003*slab_per_bc + 2000005, Abs(int_pts(idx)) < 1.0)), (idx, 0, 31))"
conv2d_bias,paper,20624833524,17103261840,17262306432
covariance,paper,8114872000,47998392,4803600
deriche,paper,9551701248,3714486264,1061431237
durbin,paper,7168447984,3072703992,256079994
fdtd_2d,paper,33516860000,14360836000,6591202500
floyd_warshall,paper,"4*Sum(Max(k, N - 1)**2, (k, 0, 2799)) + 87745291200",175490582400,21952000000
gemm,paper,282858440,115094424,19000000
gemver,paper,2048447928,1024063976,320048000
gesummv,paper,6020761600,2006950392,250913600
go_fast,paper,2500200008,1250100016,156275000
gramschmidt,paper,192899200,39773296,9620300
hdiff,paper,584517072,249762288,200174720
heat_3d,paper,26241587648,25574556384,24596189040
jacobi_1d,paper,2047424016,2047296048,767760012
jacobi_2d,paper,125225065584,125046172656,78209751960
k2mm,paper,1063244856,450316832,71680000
k3mm,paper,739462448,327500824,40960000
lenet,paper,476*C_before_fc1 + 2782127024,1794505920,1457823936
ludcmp,paper,42810760000,96175984,10009000
lu,paper,42746648000,95984000,9999000
mlp,paper,1242611820,2351888,688000
mvt,paper,4096255968,511968,64000
resnet,paper,11289926872,4854057144,3574625536
scattering_self_energies,paper,597196800,243302400,"Sum(Piecewise((46080, E >= w)), (w, 0, 2), (q, 0, 3), (E, 0, 9), (k, 0, 3))"
seidel_2d,paper,1003962960,626964624,141137964
softmax,paper,3952012680,1981801080,1073741824
spmv,paper,-1572864*A_row(i) + 1572864*A_row(i + 1) + 137441050604,2097144,131072
symm,paper,24081582408,4852790408,1208400000
syr2k,paper,34619529600,5789764800,4324320600
syrk,paper,17334729600,5789764800,1443120600
trisolv,paper,2048640000,768000,48000
trmm,paper,9601590408,4800786408,3600000
vadv,paper,1831858600,1162909640,313065472
