benchmark,preset,event,total_count,time,repetition
adi,L,PAPI_DP_OPS,372006013,8.20373425912112,1
adi,L,PAPI_DP_OPS,372006013,8.195353644900024,2
adi,L,PAPI_DP_OPS,372006013,8.180678850971162,3
adi,L,PAPI_DP_OPS,372006013,8.180183577816933,4
adi,L,PAPI_DP_OPS,372006013,8.214926991146058,5
adi,L,PAPI_DP_OPS,372006013,8.17656976589933,6
adi,L,PAPI_DP_OPS,372006013,8.19607359636575,7
adi,L,PAPI_DP_OPS,372006013,8.175180918071419,8
adi,L,PAPI_DP_OPS,372006013,8.204131610691547,9
adi,L,PAPI_DP_OPS,372006013,8.219703714828938,10
adi,L,PAPI_L1_DCM,883487406,8.171859479974955,1
adi,L,PAPI_L1_DCM,883718296,8.08496519131586,2
adi,L,PAPI_L1_DCM,876926370,8.202908048871905,3
adi,L,PAPI_L1_DCM,880449900,8.179246068932116,4
adi,L,PAPI_L1_DCM,884580904,8.18070051399991,5
adi,L,PAPI_L1_DCM,882618132,8.208360554184765,6
adi,L,PAPI_L1_DCM,878194086,8.107922825962305,7
adi,L,PAPI_L1_DCM,882866834,8.202579512260854,8
adi,L,PAPI_L1_DCM,882307348,8.192337402142584,9
adi,L,PAPI_L1_DCM,883206534,8.201510470826179,10
adi,L,PAPI_L1_ICM,2624897,8.275875980965793,1
adi,L,PAPI_L1_ICM,2932358,8.102374870795757,2
adi,L,PAPI_L1_ICM,2692165,8.120245154947042,3
adi,L,PAPI_L1_ICM,2653527,8.022915991023183,4
adi,L,PAPI_L1_ICM,2580541,8.055727324448526,5
adi,L,PAPI_L1_ICM,3133767,8.051541112829,6
adi,L,PAPI_L1_ICM,2700248,8.060140647925436,7
adi,L,PAPI_L1_ICM,2958523,8.087826039176434,8
adi,L,PAPI_L1_ICM,2699600,8.062702894210815,9
adi,L,PAPI_L1_ICM,2663406,8.018525233957916,10
adi,L,PAPI_L2_DCM,1468683968,8.049080592114478,1
adi,L,PAPI_L2_DCM,1455062702,8.078577417880297,2
adi,L,PAPI_L2_DCM,1452360106,8.083426617085934,3
adi,L,PAPI_L2_DCM,1461337857,8.0377181423828,4
adi,L,PAPI_L2_DCM,1442488646,8.087859735824168,5
adi,L,PAPI_L2_DCM,1443676747,8.081310048699379,6
adi,L,PAPI_L2_DCM,1449262132,8.101805204991251,7
adi,L,PAPI_L2_DCM,1464910853,7.962686990853399,8
adi,L,PAPI_L2_DCM,1453792315,8.110358519013971,9
adi,L,PAPI_L2_DCM,1455846336,8.093217852991074,10
adi,L,PAPI_L2_ICM,29573,8.05669801775366,1
adi,L,PAPI_L2_ICM,31885,7.914611072279513,2
adi,L,PAPI_L2_ICM,31931,8.058109714183956,3
adi,L,PAPI_L2_ICM,32700,8.07987196277827,4
adi,L,PAPI_L2_ICM,42610,8.10782140493393,5
adi,L,PAPI_L2_ICM,34294,8.104802272748202,6
adi,L,PAPI_L2_ICM,31408,8.085655577015132,7
adi,L,PAPI_L2_ICM,34191,8.098846035078168,8
adi,L,PAPI_L2_ICM,33028,8.088292207103223,9
adi,L,PAPI_L2_ICM,42946,8.055095984600484,10
adi,L,PAPI_L1_TCM,894090712,8.06613805796951,1
adi,L,PAPI_L1_TCM,894147355,7.959123115055263,2
adi,L,PAPI_L1_TCM,895068913,8.084804296027869,3
adi,L,PAPI_L1_TCM,893066574,8.072425512131304,4
adi,L,PAPI_L1_TCM,892365047,8.06821568403393,5
adi,L,PAPI_L1_TCM,893456866,8.094402953982353,6
adi,L,PAPI_L1_TCM,893793060,8.079564693383873,7
adi,L,PAPI_L1_TCM,894351802,8.09261046629399,8
adi,L,PAPI_L1_TCM,891563031,8.094395486172289,9
